[ 2025-12-01 21:00:58,498 ] 23 root - INFO - Initiate Data ingestion
[ 2025-12-01 21:01:01,384 ] 62 root - INFO - Performed train test split on the dataframe
[ 2025-12-01 21:01:01,384 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-01 21:01:01,385 ] 72 root - INFO - Exporting train and test file path.
[ 2025-12-01 21:01:01,448 ] 81 root - INFO - Exported train and test file path.
[ 2025-12-01 21:01:01,448 ] 26 root - INFO - Ingestion Initiation completed
[ 2025-12-01 21:01:01,453 ] 33 root - INFO - Initiate Data Validation
[ 2025-12-01 21:01:01,475 ] 41 root - INFO - Required number of columns:2
[ 2025-12-01 21:01:01,475 ] 42 root - INFO - Data frame has columns:31
[ 2025-12-01 21:01:01,476 ] 41 root - INFO - Required number of columns:2
[ 2025-12-01 21:01:01,476 ] 42 root - INFO - Data frame has columns:31
[ 2025-12-01 21:01:01,604 ] 36 root - INFO - Validation Initiation completed
[ 2025-12-01 21:01:01,604 ] 43 root - INFO - Initiate Data Transformation
[ 2025-12-01 21:01:01,604 ] 57 root - INFO - Started Data Transformation
[ 2025-12-01 21:01:01,628 ] 45 root - INFO - Started Getting data transformer object
[ 2025-12-01 21:01:01,659 ] 48 root - INFO - Transformation Initiation completed
[ 2025-12-01 21:01:01,659 ] 56 root - INFO - Initiate Model Trainer
