[ 2025-12-01 21:07:28,949 ] 23 root - INFO - Initiate Data ingestion
[ 2025-12-01 21:07:31,958 ] 62 root - INFO - Performed train test split on the dataframe
[ 2025-12-01 21:07:31,958 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-01 21:07:31,958 ] 72 root - INFO - Exporting train and test file path.
[ 2025-12-01 21:07:32,025 ] 81 root - INFO - Exported train and test file path.
[ 2025-12-01 21:07:32,025 ] 26 root - INFO - Ingestion Initiation completed
[ 2025-12-01 21:07:32,030 ] 33 root - INFO - Initiate Data Validation
[ 2025-12-01 21:07:32,053 ] 41 root - INFO - Required number of columns:2
[ 2025-12-01 21:07:32,054 ] 42 root - INFO - Data frame has columns:31
[ 2025-12-01 21:07:32,055 ] 41 root - INFO - Required number of columns:2
[ 2025-12-01 21:07:32,055 ] 42 root - INFO - Data frame has columns:31
[ 2025-12-01 21:07:32,205 ] 36 root - INFO - Validation Initiation completed
[ 2025-12-01 21:07:32,205 ] 43 root - INFO - Initiate Data Transformation
[ 2025-12-01 21:07:32,205 ] 57 root - INFO - Started Data Transformation
[ 2025-12-01 21:07:32,230 ] 45 root - INFO - Started Getting data transformer object
[ 2025-12-01 21:07:32,244 ] 48 root - INFO - Transformation Initiation completed
[ 2025-12-01 21:07:32,244 ] 56 root - INFO - Initiate Model Trainer
[ 2025-12-01 21:08:25,135 ] 61 root - INFO - Trainig Initiation completed
