[ 2025-12-01 20:52:16,240 ] 23 root - INFO - Initiate Data ingestion
[ 2025-12-01 20:52:19,176 ] 62 root - INFO - Performed train test split on the dataframe
[ 2025-12-01 20:52:19,176 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-01 20:52:19,176 ] 72 root - INFO - Exporting train and test file path.
[ 2025-12-01 20:52:19,239 ] 81 root - INFO - Exported train and test file path.
[ 2025-12-01 20:52:19,239 ] 26 root - INFO - Ingestion Initiation completed
[ 2025-12-01 20:52:19,244 ] 33 root - INFO - Initiate Data Validation
[ 2025-12-01 20:52:19,267 ] 41 root - INFO - Required number of columns:2
[ 2025-12-01 20:52:19,267 ] 42 root - INFO - Data frame has columns:31
[ 2025-12-01 20:52:19,268 ] 41 root - INFO - Required number of columns:2
[ 2025-12-01 20:52:19,268 ] 42 root - INFO - Data frame has columns:31
[ 2025-12-01 20:52:19,431 ] 36 root - INFO - Validation Initiation completed
[ 2025-12-01 20:52:19,431 ] 43 root - INFO - Initiate Data Transformation
[ 2025-12-01 20:52:19,432 ] 57 root - INFO - Started Data Transformation
[ 2025-12-01 20:52:19,457 ] 45 root - INFO - Started Getting data transformer object
[ 2025-12-01 20:52:19,472 ] 48 root - INFO - Transformation Initiation completed
[ 2025-12-01 20:52:19,472 ] 56 root - INFO - Initiate Model Trainer
