[ 2025-12-01 20:56:23,769 ] 23 root - INFO - Initiate Data ingestion
[ 2025-12-01 20:56:26,801 ] 62 root - INFO - Performed train test split on the dataframe
[ 2025-12-01 20:56:26,801 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-01 20:56:26,802 ] 72 root - INFO - Exporting train and test file path.
[ 2025-12-01 20:56:26,868 ] 81 root - INFO - Exported train and test file path.
[ 2025-12-01 20:56:26,869 ] 26 root - INFO - Ingestion Initiation completed
[ 2025-12-01 20:56:26,873 ] 33 root - INFO - Initiate Data Validation
[ 2025-12-01 20:56:26,899 ] 41 root - INFO - Required number of columns:2
[ 2025-12-01 20:56:26,899 ] 42 root - INFO - Data frame has columns:31
[ 2025-12-01 20:56:26,900 ] 41 root - INFO - Required number of columns:2
[ 2025-12-01 20:56:26,901 ] 42 root - INFO - Data frame has columns:31
[ 2025-12-01 20:56:27,165 ] 36 root - INFO - Validation Initiation completed
[ 2025-12-01 20:56:27,166 ] 43 root - INFO - Initiate Data Transformation
[ 2025-12-01 20:56:27,166 ] 57 root - INFO - Started Data Transformation
[ 2025-12-01 20:56:27,218 ] 45 root - INFO - Started Getting data transformer object
[ 2025-12-01 20:56:27,249 ] 48 root - INFO - Transformation Initiation completed
[ 2025-12-01 20:56:27,249 ] 56 root - INFO - Initiate Model Trainer
