[ 2025-12-01 20:50:19,929 ] 23 root - INFO - Initiate Data ingestion
[ 2025-12-01 20:50:22,859 ] 62 root - INFO - Performed train test split on the dataframe
[ 2025-12-01 20:50:22,860 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-01 20:50:22,860 ] 72 root - INFO - Exporting train and test file path.
[ 2025-12-01 20:50:22,929 ] 81 root - INFO - Exported train and test file path.
[ 2025-12-01 20:50:22,930 ] 26 root - INFO - Ingestion Initiation completed
[ 2025-12-01 20:50:22,934 ] 33 root - INFO - Initiate Data Validation
[ 2025-12-01 20:50:22,957 ] 41 root - INFO - Required number of columns:2
[ 2025-12-01 20:50:22,958 ] 42 root - INFO - Data frame has columns:31
[ 2025-12-01 20:50:22,959 ] 41 root - INFO - Required number of columns:2
[ 2025-12-01 20:50:22,959 ] 42 root - INFO - Data frame has columns:31
[ 2025-12-01 20:50:23,121 ] 36 root - INFO - Validation Initiation completed
[ 2025-12-01 20:50:23,121 ] 43 root - INFO - Initiate Data Transformation
[ 2025-12-01 20:50:23,121 ] 57 root - INFO - Started Data Transformation
[ 2025-12-01 20:50:23,146 ] 45 root - INFO - Started Getting data transformer object
[ 2025-12-01 20:50:23,161 ] 48 root - INFO - Transformation Initiation completed
[ 2025-12-01 20:50:23,161 ] 56 root - INFO - Initiate Model Trainer
