[ 2025-12-01 20:48:16,237 ] 23 root - INFO - Initiate Data ingestion
[ 2025-12-01 20:48:19,145 ] 62 root - INFO - Performed train test split on the dataframe
[ 2025-12-01 20:48:19,145 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-01 20:48:19,145 ] 72 root - INFO - Exporting train and test file path.
[ 2025-12-01 20:48:19,212 ] 81 root - INFO - Exported train and test file path.
[ 2025-12-01 20:48:19,213 ] 26 root - INFO - Ingestion Initiation completed
[ 2025-12-01 20:48:19,218 ] 33 root - INFO - Initiate Data Validation
[ 2025-12-01 20:48:19,239 ] 41 root - INFO - Required number of columns:2
[ 2025-12-01 20:48:19,240 ] 42 root - INFO - Data frame has columns:31
[ 2025-12-01 20:48:19,241 ] 41 root - INFO - Required number of columns:2
[ 2025-12-01 20:48:19,241 ] 42 root - INFO - Data frame has columns:31
[ 2025-12-01 20:48:19,400 ] 36 root - INFO - Validation Initiation completed
[ 2025-12-01 20:48:19,400 ] 43 root - INFO - Initiate Data Transformation
[ 2025-12-01 20:48:19,401 ] 57 root - INFO - Started Data Transformation
[ 2025-12-01 20:48:19,425 ] 45 root - INFO - Started Getting data transformer object
[ 2025-12-01 20:48:19,440 ] 48 root - INFO - Transformation Initiation completed
[ 2025-12-01 20:48:19,440 ] 56 root - INFO - Initiate Model Trainer
